"plotID","DBH","species","height","BAL","PC1_cat","plotID_PC1_cat"
"plot_1912",40.3,"PCAB",25.5,16.7836347750611,"1.54_1.81","plot_1912_1.54_1.81"
"plot_1912",42.5,"PCAB",32.2,12.2458496238767,"1.54_1.81","plot_1912_1.54_1.81"
"plot_1992",37.7,"PCAB",32.6,56.5757878773577,"1.54_1.81","plot_1992_1.54_1.81"
"plot_1992",50.8,"PCAB",31.2,23.9733173747357,"1.54_1.81","plot_1992_1.54_1.81"
"plot_1992",40.9,"PCAB",35.2,46.0808747596698,"1.54_1.81","plot_1992_1.54_1.81"
"plot_1992",12.7,"PCAB",13.8,68.6956607353828,"1.54_1.81","plot_1992_1.54_1.81"
"plot_1992",65.2,"PCAB",34.2,0,"1.54_1.81","plot_1992_1.54_1.81"
"plot_1992",29.3,"PCAB",28.9,27.3581233351069,"1.54_1.81","plot_1992_1.54_1.81"
"plot_1992",64.4,"PCAB",36.8,5.57572754424358,"1.54_1.81","plot_1992_1.54_1.81"
"plot_1582",21.6,"PCAB",17.1,25.1594248171605,"1.54_1.81","plot_1582_1.54_1.81"
"plot_1582",31,"PCAB",23.2,31.2877518332861,"1.54_1.81","plot_1582_1.54_1.81"
"plot_1582",16,"PCAB",17.1,32.5482137837778,"1.54_1.81","plot_1582_1.54_1.81"
"plot_1582",56.7,"PCAB",31.8,0,"1.54_1.81","plot_1582_1.54_1.81"
"plot_1582",41.3,"PCAB",28.9,18.6339134675046,"1.54_1.81","plot_1582_1.54_1.81"
"plot_536",14.6,"PCAB",9.3,12.0425227235534,"1.54_1.81","plot_536_1.54_1.81"
"plot_536",11.3,"PCAB",8.5,12.7252693469948,"1.54_1.81","plot_536_1.54_1.81"
"plot_536",11.6,"PCAB",6.9,12.4610614048279,"1.54_1.81","plot_536_1.54_1.81"
"plot_2176",31.7,"PCAB",14.8,22.079061882929,"1.54_1.81","plot_2176_1.54_1.81"
"plot_2176",22,"PCAB",13.1,14.0843489146656,"1.54_1.81","plot_2176_1.54_1.81"
"plot_2176",28,"PCAB",15.6,0,"1.54_1.81","plot_2176_1.54_1.81"
"plot_2176",32.1,"PCAB",18.2,20.7275607399466,"1.54_1.81","plot_2176_1.54_1.81"
